"Month Name","Agency","Description","Borough","# of Incidents","Response Times"
"2025 / 09","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Brooklyn","13,913","620.29"
"2025 / 09","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Bronx","11,423","894.03"
"2025 / 09","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Manhattan","11,883","786.83"
"2025 / 09","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Queens","10,060","694.58"
"2025 / 09","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Staten Island","2,178","589.96"
"2025 / 09","Aggregate","Combined average response time to life threatening medical emergencies by ambulance and fire units","Unspecified","58","769.61"
"2025 / 09","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Brooklyn","614","550.93"
"2025 / 09","EMS","Average response time to life threatening medical emergencies by ambulance units","Brooklyn","12,983","674.04"
"2025 / 09","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Brooklyn","27,535","988.18"
"2025 / 09","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Brooklyn","5,609","41.38"
"2025 / 09","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Bronx","439","657.23"
"2025 / 09","EMS","Average response time to life threatening medical emergencies by ambulance units","Bronx","9,948","876.37"
"2025 / 09","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Bronx","22,879","1,706.31"
"2025 / 09","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Bronx","2,761","22.02"
"2025 / 09","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Manhattan","412","554.92"
"2025 / 09","EMS","Average response time to life threatening medical emergencies by ambulance units","Manhattan","10,683","836.61"
"2025 / 09","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Manhattan","21,961","1,454.10"
"2025 / 09","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Manhattan","4,436","35.96"
"2025 / 09","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Queens","476","606.54"
"2025 / 09","EMS","Average response time to life threatening medical emergencies by ambulance units","Queens","9,156","769.10"
"2025 / 09","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Queens","19,890","1,150.78"
"2025 / 09","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Queens","3,060","34.58"
"2025 / 09","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Staten Island","85","566.44"
"2025 / 09","EMS","Average response time to life threatening medical emergencies by ambulance units","Staten Island","2,038","652.66"
"2025 / 09","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Staten Island","4,304","816.55"
"2025 / 09","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Staten Island","1,008","45.63"
"2025 / 09","EMS","Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units","Unspecified","1","794.00"
"2025 / 09","EMS","Average response time to life threatening medical emergencies by ambulance units","Unspecified","40","976.88"
"2025 / 09","EMS","Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined","Unspecified","129","1,884.98"
"2025 / 09","EMS","Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances","Unspecified","14","21.43"
"2025 / 09","FDNY","Average response time to structural fires","Brooklyn","333","271.78"
"2025 / 09","FDNY","Average response time to non-structural fires","Brooklyn","193","358.05"
"2025 / 09","FDNY","Average response time to non-fire emergencies","Brooklyn","8,545","608.62"
"2025 / 09","FDNY","Average response time to life threatening medical emergencies by fire units","Brooklyn","4,472","552.61"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units less than 5 minutes","Brooklyn","526","61.41"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes","Brooklyn","526","36.31"
"2025 / 09","FDNY","Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes","Brooklyn","526","2.09"
